row_id,playerID,year,position,age,avg_salary_year,free_agent_salary,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR,won_cy_young,won_mvp,won_gold_glove,won_silver_slugger,all_star
ankieri01_2010,ankieri01,2010,OF,31,3278746.825301205,1500000.0,996,146,244,55,5,42,133,9,5,94,270,9,10,0,7,16,6688.0,580.0,14.0,17.0,5.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
barajro01_2010,barajro01,2010,C,35,3278746.825301205,3250000.0,1091,126,259,56,0,47,167,1,0,50,191,8,16,4,15,19,7688.0,2188.0,134.0,15.0,21.0,11.0,0.0,129.0,55.0,,0,0,0,0,0
beltrad01_2010,beltrad01,2010,3B,31,3278746.825301205,16000000.0,1594,212,456,105,3,61,223,23,5,109,246,21,14,0,13,55,10618.0,341.0,781.0,47.0,77.0,0.0,0.0,0.0,0.0,,0,0,1,1,1
berkmla01_2010,berkmla01,2010,1B,34,3278746.825301205,8000000.0,1418,235,399,100,6,68,244,28,10,273,291,39,8,0,9,44,9744.0,3097.0,322.0,13.0,312.0,0.0,0.0,0.0,0.0,,0,0,0,0,1
blumge01_2010,blumge01,2010,1B,37,3278746.825301205,1350000.0,908,92,226,38,3,26,124,1,3,69,148,8,11,0,13,17,5859.0,304.0,429.0,13.0,51.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
buckjo01_2010,buckjo01,2010,C,30,3278746.825301205,6000000.0,965,117,244,60,5,37,150,1,4,67,262,3,13,1,11,20,6750.0,1793.0,78.0,21.0,16.0,10.0,0.0,147.0,38.0,,0,0,0,0,1
burrepa01_2010,burrepa01,2010,OF,34,3278746.825301205,1000000.0,1321,169,319,70,4,67,214,2,2,216,360,14,4,0,17,23,5518.0,325.0,16.0,4.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
cabreor01_2010,cabreor01,2010,SS,36,3278746.825301205,1000000.0,1811,240,502,102,4,21,176,43,14,120,195,2,4,14,26,49,11427.0,665.0,1200.0,52.0,259.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
cabreme01_2010,cabreme01,2010,OF,26,3278746.825301205,1250000.0,1357,158,353,67,5,25,147,26,5,114,181,20,8,13,10,34,9801.0,797.0,18.0,11.0,4.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
cairomi01_2010,cairomi01,2010,2B,36,3278746.825301205,1000000.0,466,70,125,28,3,5,53,9,2,35,66,0,9,9,4,11,2913.0,564.0,110.0,5.0,72.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
cantujo01_2010,cantujo01,2010,1B,28,3278746.825301205,850000.0,1685,209,464,112,1,56,251,9,3,116,287,11,22,1,19,45,10628.0,1509.0,456.0,51.0,171.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
counscr01_2010,counscr01,2010,2B,40,3278746.825301205,1400000.0,856,108,222,44,9,7,74,7,6,109,125,1,12,7,7,17,5312.0,263.0,534.0,14.0,110.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
crawfca02_2010,crawfca02,2010,OF,29,3278746.825301205,19738071.166666668,1649,275,490,70,31,42,215,132,33,127,263,5,13,5,15,19,10412.0,866.0,15.0,10.0,1.0,0.0,0.0,0.0,0.0,,0,0,1,1,1
damonjo01_2010,damonjo01,2010,OF,37,3278746.825301205,5250000.0,1644,283,469,99,13,49,204,52,9,204,270,3,5,6,3,19,6994.0,510.0,11.0,9.0,3.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
diazma02_2010,diazma02,2010,OF,32,3278746.825301205,2125000.0,730,92,205,37,6,22,103,19,8,51,166,5,18,7,3,24,4753.0,309.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
dunnad01_2010,dunnad01,2010,1B,31,3278746.825301205,14000000.0,1621,245,413,88,2,116,308,2,3,315,540,39,20,0,11,25,11287.0,2238.0,144.0,40.0,197.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
gibboja01_2010,gibboja01,2010,1B,33,3278746.825301205,650000.0,75,11,21,2,0,5,17,0,1,4,14,0,0,0,1,2,373.0,41.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
hairsje02_2010,hairsje02,2010,2B,34,3278746.825301205,2000000.0,1074,162,286,56,5,26,125,31,13,86,144,2,14,20,12,8,7177.0,472.0,514.0,24.0,100.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
hairssc01_2010,hairssc01,2010,OF,30,3278746.825301205,1100000.0,1051,126,257,55,5,44,131,20,5,84,236,3,12,4,11,14,6701.0,552.0,11.0,8.0,2.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
hernara02_2010,hernara02,2010,1B,34,3278746.825301205,2947318.0,1063,104,286,53,3,27,150,1,0,94,145,6,13,8,12,24,7521.0,1930.0,132.0,18.0,46.0,12.0,0.0,167.0,60.0,,0,0,0,0,0
izturce01_2010,izturce01,2010,SS,30,3278746.825301205,1500000.0,1274,126,317,37,8,4,82,47,15,72,117,2,15,14,4,28,9605.0,556.0,1092.0,28.0,225.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
jonesan01_2010,jonesan01,2010,OF,33,3278746.825301205,1500000.0,768,105,157,38,2,39,105,14,4,117,221,3,6,0,6,27,3924.0,331.0,10.0,4.0,8.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
kearnau01_2010,kearnau01,2010,OF,30,3278746.825301205,1300000.0,890,115,208,37,3,20,98,7,4,113,230,3,23,0,3,39,6145.0,499.0,10.0,8.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
konerpa01_2010,konerpa01,2010,1B,34,3278746.825301205,12167168.666666666,1532,223,427,79,3,89,261,3,1,195,279,15,22,0,17,41,9717.0,3238.0,237.0,18.0,330.0,0.0,0.0,0.0,0.0,,0,0,0,0,1
kotsama01_2010,kotsama01,2010,OF,35,3278746.825301205,800000.0,916,91,241,51,6,18,103,6,9,79,102,9,0,2,4,29,4955.0,831.0,52.0,2.0,53.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
lairdge01_2010,lairdge01,2010,C,31,3278746.825301205,1000000.0,1027,125,244,58,2,15,99,10,5,81,188,2,19,20,10,23,7575.0,1884.0,168.0,16.0,20.0,20.0,0.0,170.0,93.0,,0,0,0,0,0
leede02_2010,leede02,2010,1B,35,3278746.825301205,7250000.0,1702,264,486,112,5,74,281,10,5,220,362,10,5,0,12,62,11334.0,3348.0,320.0,22.0,307.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
martiru01_2010,martiru01,2010,C,27,3278746.825301205,4000000.0,1389,195,363,57,0,25,148,35,14,207,224,24,20,3,6,41,9905.0,2764.0,232.0,31.0,22.0,14.0,0.0,187.0,83.0,,0,0,0,0,1
martivi01_2010,martivi01,2010,1B,32,3278746.825301205,12500000.0,1347,182,401,82,2,45,222,2,0,139,158,12,4,0,14,46,8404.0,2291.0,120.0,19.0,80.0,10.0,0.0,177.0,49.0,,0,0,0,0,1
matsuhi01_2010,matsuhi01,2010,OF,36,3278746.825301205,4250000.0,1275,160,356,62,2,58,219,0,2,169,220,13,8,0,6,24,952.0,58.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
morame01_2010,morame01,2010,3B,38,3278746.825301205,2350000.0,1279,160,353,61,7,38,197,8,11,102,183,6,24,6,9,36,8382.0,363.0,637.0,34.0,71.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
nadyxa01_2010,nadyxa01,2010,OF,32,3278746.825301205,1750000.0,900,113,258,54,1,31,132,2,1,57,194,2,17,1,8,28,5437.0,718.0,51.0,6.0,52.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
navardi01_2010,navardi01,2010,C,26,3278746.825301205,1000000.0,927,92,232,47,0,16,93,5,7,64,120,2,9,16,6,33,6791.0,1841.0,122.0,14.0,19.0,12.0,0.0,125.0,62.0,,0,0,0,0,1
nievewi01_2010,nievewi01,2010,C,33,3278746.825301205,775000.0,558,45,136,23,1,5,62,1,1,38,103,4,4,9,8,20,4195.0,1029.0,92.0,14.0,12.0,8.0,0.0,104.0,33.0,,0,0,0,0,0
