row_id,playerID,year,position,age,avg_salary_year,free_agent_salary,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,ERA,BAOpp,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR,won_cy_young,won_mvp,won_gold_glove,won_silver_slugger,all_star
accarje01_2010,accarje01,2010,P,29,3278746.825301205,1080000.0,0.0,4.0,47.0,0.0,0.0,0.0,5.0,50.0,22.0,3.0,24.0,26.0,3.0,3.0,4.0,0.0,197.0,13.0,24.0,0.0,3.0,8.0,5.739999999999999,0.3223333333333333,131.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
aceveal01_2010,aceveal01,2010,P,28,3278746.825301205,,14.0,1.0,59.0,5.0,0.0,0.0,2.0,104.0,45.0,15.0,30.0,87.0,3.0,1.0,6.0,0.0,510.0,13.0,49.0,1.0,2.0,8.0,2.98,0.21833333333333335,378.0,5.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
alberma01_2010,alberma01,2010,P,27,3278746.825301205,875000.0,11.0,12.0,146.0,3.0,0.0,0.0,0.0,201.0,98.0,13.0,92.0,124.0,9.0,6.0,6.0,0.0,846.0,37.0,105.0,9.0,5.0,29.0,4.506666666666667,0.27066666666666667,575.0,15.0,27.0,1.0,3.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
bedarer01_2010,bedarer01,2010,P,31,3278746.825301205,1000000.0,11.0,7.0,30.0,30.0,0.0,0.0,0.0,135.0,59.0,17.0,71.0,162.0,0.0,5.0,8.0,0.0,695.0,0.0,67.0,3.0,3.0,12.0,3.245,0.2215,492.0,8.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
benoijo01_2010,benoijo01,2010,P,33,3278746.825301205,5500000.0,4.0,4.0,107.0,0.0,0.0,0.0,2.0,70.0,34.0,12.0,46.0,118.0,3.0,4.0,0.0,0.0,426.0,24.0,38.0,2.0,2.0,4.0,3.17,0.19,316.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
buchhta01_2010,buchhta01,2010,P,29,3278746.825301205,600000.0,7.0,6.0,72.0,0.0,0.0,0.0,1.0,55.0,21.0,7.0,24.0,65.0,2.0,5.0,2.0,1.0,312.0,23.0,28.0,3.0,2.0,4.0,2.223333333333333,0.15533333333333335,235.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
capuach01_2010,capuach01,2010,P,32,3278746.825301205,1500000.0,4.0,4.0,24.0,9.0,0.0,0.0,0.0,65.0,29.0,9.0,21.0,54.0,1.0,5.0,1.0,0.0,278.0,5.0,29.0,3.0,2.0,7.0,3.95,0.259,198.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
carradj01_2010,carradj01,2010,P,33,3278746.825301205,1200000.0,9.0,3.0,143.0,1.0,0.0,0.0,0.0,201.0,88.0,12.0,77.0,157.0,8.0,9.0,12.0,0.0,893.0,25.0,98.0,6.0,8.0,23.0,3.6950000000000003,0.24125,631.0,10.0,35.0,4.0,3.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
choatra01_2010,choatra01,2010,P,35,3278746.825301205,1250000.0,5.0,3.0,146.0,0.0,0.0,0.0,5.0,69.0,35.0,7.0,28.0,68.0,8.0,4.0,3.0,0.0,329.0,21.0,38.0,2.0,2.0,14.0,3.8500000000000005,0.23299999999999998,243.0,5.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
coffeto01_2010,coffeto01,2010,P,30,3278746.825301205,1350000.0,7.0,8.0,173.0,0.0,0.0,0.0,2.0,172.0,73.0,20.0,52.0,136.0,8.0,7.0,7.0,0.0,726.0,38.0,81.0,6.0,8.0,19.0,3.4274999999999998,0.26725,518.0,6.0,18.0,2.0,2.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
