season,notes,date_signed,date_declared,sort_order,player_id,player_full_name,player_link,original_team_id,original_team_name,original_team_link,new_team_id,new_team_name,new_team_link,position_code,position_name,position_type,position_abbreviation,signed_year
2003,Minor league contract,2003-12-26,2003-11-17,NA,407577,Andy Abad,/api/v1/people/407577,111,Boston Red Sox,/api/v1/teams/111,134,Pittsburgh Pirates,/api/v1/teams/134,3,First Base,Infielder,1B,2003
2003,"<a href=""/NASApp/mlb/tb/news/tb_news.jsp?ymd=20031114&content_id=604100&vkey=news_tb&fext=.jsp&c_id=tba"">One-year contract</a>",2003-11-14,NA,NA,110015,Paul Abbott,/api/v1/people/110015,118,Kansas City Royals,/api/v1/teams/118,139,Tampa Bay Devil Rays,/api/v1/teams/139,S,Starting Pitcher,Pitcher,SP,2003
2003,"<a href=""/NASApp/mlb/det/news/det_press_release.jsp?ymd=20031208&content_id=613571&vkey=pr_det&fext=.jsp&c_id=det"">Minor league contract</a>",2003-12-08,2003-11-13,NA,150466,Brent Abernathy,/api/v1/people/150466,118,Kansas City Royals,/api/v1/teams/118,116,Detroit Tigers,/api/v1/teams/116,4,Second Base,Infielder,2B,2003
2003,NA,2004-01-07,2003-10-27,NA,110067,Terry Adams,/api/v1/people/110067,143,Philadelphia Phillies,/api/v1/teams/143,141,Toronto Blue Jays,/api/v1/teams/141,E,Relief Pitcher,Pitcher,RP,2004
2003,NA,2003-12-23,2003-10-28,NA,110134,Antonio Alfonseca,/api/v1/people/110134,146,Florida Marlins,/api/v1/teams/146,144,Atlanta Braves,/api/v1/teams/144,E,Relief Pitcher,Pitcher,RP,2003
2003,"<a href=""http://mlb.mlb.com/NASApp/mlb/tex/news/tex_press_release.jsp?ymd=20031126&content_id=608827&vkey=pr_tex&fext=.jsp"">Minor league contract</a>",2003-11-26,NA,NA,150210,Chad Allen,/api/v1/people/150210,146,Florida Marlins,/api/v1/teams/146,140,Texas Rangers,/api/v1/teams/140,O,Outfield,Outfielder,OF,2003
2003,"<a href=""/NASApp/mlb/atl/news/atl_news.jsp?ymd=20031222&content_id=622091&vkey=news_atl&fext=.jsp&c_id=atl"">One-year contract</a>",2003-12-22,2003-12-20,NA,150355,Armando Almanza,/api/v1/people/150355,146,Florida Marlins,/api/v1/teams/146,144,Atlanta Braves,/api/v1/teams/144,E,Relief Pitcher,Pitcher,RP,2003
2003,Minor league contract,2004-01-27,2003-12-19,NA,150356,Hector Almonte,/api/v1/people/150356,120,Montreal Expos,/api/v1/teams/120,134,Pittsburgh Pirates,/api/v1/teams/134,E,Relief Pitcher,Pitcher,RP,2004
2003,"<a href=""/NASApp/mlb/bos/news/bos_press_release.jsp?ymd=20031222&content_id=622256&vkey=pr_bos&fext=.jsp&c_id=bos"">One-year contract.</a>",2003-12-22,2003-12-20,NA,407824,Edwin Almonte,/api/v1/people/407824,111,Boston Red Sox,/api/v1/teams/111,111,Boston Red Sox,/api/v1/teams/111,E,Relief Pitcher,Pitcher,RP,2003
2003,NA,2004-01-06,2003-10-30,NA,110183,Roberto Alomar,/api/v1/people/110183,145,Chicago White Sox,/api/v1/teams/145,109,Arizona Diamondbacks,/api/v1/teams/109,4,Second Base,Infielder,2B,2004
2003,One-year contract,2003-12-18,2003-10-30,NA,110209,Wilson Alvarez,/api/v1/people/110209,119,Los Angeles Dodgers,/api/v1/teams/119,119,Los Angeles Dodgers,/api/v1/teams/119,S,Starting Pitcher,Pitcher,SP,2003
2003,NA,2003-12-01,2003-10-27,NA,110230,Brian Anderson,/api/v1/people/110230,118,Kansas City Royals,/api/v1/teams/118,118,Kansas City Royals,/api/v1/teams/118,S,Starting Pitcher,Pitcher,SP,2003
2003,NA,2004-01-09,2003-12-20,NA,136724,Marlon Anderson,/api/v1/people/136724,139,Tampa Bay Devil Rays,/api/v1/teams/139,138,St. Louis Cardinals,/api/v1/teams/138,4,Second Base,Infielder,2B,2004
2003,NA,2003-11-21,2003-10-27,NA,110293,Kevin Appier,/api/v1/people/110293,118,Kansas City Royals,/api/v1/teams/118,118,Kansas City Royals,/api/v1/teams/118,S,Starting Pitcher,Pitcher,SP,2003
2003,Minor league contract,2004-03-30,2003-10-30,NA,110351,Andy Ashby,/api/v1/people/110351,119,Los Angeles Dodgers,/api/v1/teams/119,135,San Diego Padres,/api/v1/teams/135,S,Starting Pitcher,Pitcher,SP,2004
2003,Minor league contract,2004-07-02,2003-10-29,NA,110359,Pedro Astacio,/api/v1/people/110359,121,New York Mets,/api/v1/teams/121,111,Boston Red Sox,/api/v1/teams/111,S,Starting Pitcher,Pitcher,SP,2004
2003,NA,2004-01-08,2003-10-27,NA,110383,Rich Aurilia,/api/v1/people/110383,137,San Francisco Giants,/api/v1/teams/137,136,Seattle Mariners,/api/v1/teams/136,6,Shortstop,Infielder,SS,2004
2003,NA,2003-11-19,2003-10-27,NA,110385,Brad Ausmus,/api/v1/people/110385,117,Houston Astros,/api/v1/teams/117,117,Houston Astros,/api/v1/teams/117,2,Catcher,Catcher,C,2003
2003,One-year contract,2003-12-07,2003-10-29,NA,110427,Carlos Baerga,/api/v1/people/110427,109,Arizona Diamondbacks,/api/v1/teams/109,109,Arizona Diamondbacks,/api/v1/teams/109,I,Infield,Infielder,IF,2003
2003,Two years with a club option for 2006,2004-01-06,2003-12-20,NA,276056,Danys Baez,/api/v1/people/276056,114,Cleveland Indians,/api/v1/teams/114,139,Tampa Bay Devil Rays,/api/v1/teams/139,E,Relief Pitcher,Pitcher,RP,2004
2003,Unsigned through spring training,NA,2003-12-10,NA,150469,John Bale,/api/v1/people/150469,113,Cincinnati Reds,/api/v1/teams/113,NA,NA,/api/v1/teams/null,S,Starting Pitcher,Pitcher,SP,NA
